Voltage [V],Current Min (e-7 A),Current Max (e-7 A),Average Current (e-7 A),Range (e-7 A),Relative Range (e-7 A),Variance,Standard Deviation
9.9999,4.615,4.7,4.514,0.102,0.022596367,0.002601,0.051
9,4.463,4.565,4.157,0.338,0.081308636,0.028561,0.169
8,3.988,4.326,4.157,0.338,0.081308636,0.028561,0.169
7,3.839,4.046,3.9425,0.207,0.052504756,0.01071225,0.1035
6,3.546,3.68,3.613,0.134,0.037088292,0.004489,0.067
5,2.986,3.085,3.0355,0.099,0.032614067,0.00245025,0.0495
4,2.693,2.764,2.7285,0.071,0.026021624,0.00126025,0.0355
3,2.252,2.27,2.261,0.018,0.007961079,8.1E-05,0.009
2,1.67,1.76,1.715,0.09,0.052478134,0.002025,0.045
1.75,1.525,1.58,1.5525,0.055,0.035426731,0.00075625,0.0275
1.5,1.357,1.402,1.3795,0.045,0.032620515,0.00050625,0.0225
1.25,1.176,1.206,1.191,0.03,0.025188917,0.000225,0.015
1,0.975,1.017,0.996,0.042,0.042168675,0.000441,0.021
0.75,0.793,0.836,0.8145,0.043,0.052793125,0.00046225,0.0215
0.5,0.587,0.62,0.6035,0.033,0.054681027,0.00027225,0.0165
0.25,0.392,0.416,0.404,0.024,0.059405941,0.000144,0.012
0,0.228,0.238,0.233,0.01,0.042918455,2.5E-05,0.005
-0.125,0.1656,0.171,0.1683,0.0054,0.032085561,7.29E-06,0.0027
-0.25,0.1158,0.12,0.1179,0.0042,0.03562341,4.41E-06,0.0021
-0.5,0.0476,0.0495,0.04855,0.0019,0.039134912,9.025E-07,0.00095
-0.75,0.0098,0.0104,0.0101,0.0006,0.059405941,9E-08,0.0003
-1,-0.0057,-0.00595,-0.005825,-0.00025,0.042918455,1.5625E-08,0.000125
-1.25,-0.00965,-0.0101,-0.009875,-0.00045,0.04556962,5.0625E-08,0.000225
-1.5,-0.0106,-0.0109,-0.01075,-0.0003,0.027906977,2.25E-08,0.00015
-1.75,-0.0108,-0.01146,-0.01113,-0.00066,0.059299191,1.089E-07,0.00033
-2,-0.0109,-0.01166,-0.01128,-0.00076,0.067375887,1.444E-07,0.00038
-2.5,-0.01101,-0.0112,-0.011105,-0.00019,0.01710941,9.025E-09,9.5E-05
-3,-0.01106,-0.0112,-0.01113,-0.00014,0.012578616,4.9E-09,7E-05
-4,-0.0111,-0.0116,-0.01135,-0.0005,0.044052863,6.25E-08,0.00025
-5,-0.0111,-0.012,-0.01155,-0.0009,0.077922078,2.025E-07,0.00045
-6,-0.0113,-0.0119,-0.0116,-0.0006,0.051724138,9E-08,0.0003
