Voltage (V),Current Min (e-7 A),Current Max (e-7 A),Average Current (e-7 A),Range (e-7 A),Relative Range (e-7 A),Variance,Standard Deviation
9,1.201,1.294,1.2475,0.093,0.074549098,0.00216225,0.0465
8,1.222,1.253,1.2375,0.031,0.025050505,0.00024025,0.0155
7,1.16,1.189,1.1745,0.029,0.024691358,0.00021025,0.0145
6,1.087,1.1,1.0935,0.013,0.011888432,4.225E-05,0.0065
5,0.988,1.022,1.005,0.034,0.033830846,0.000289,0.017
4,0.879,0.899,0.889,0.02,0.022497188,0.0001,0.01
3,0.7438,0.76,0.7519,0.0162,0.021545418,6.561E-05,0.0081
2,0.538,0.5565,0.54725,0.0185,0.033805391,8.55625E-05,0.00925
1.75,0.479,0.494,0.4865,0.015,0.030832477,5.625E-05,0.0075
1.5,0.419,0.44,0.4295,0.021,0.048894063,0.00011025,0.0105
1.25,0.358,0.367,0.3625,0.009,0.024827586,0.00002025,0.0045
1,0.301,0.314,0.3075,0.013,0.042276423,4.225E-05,0.0065
0.75,0.24,0.251,0.2455,0.011,0.044806517,3.025E-05,0.0055
0.5,0.179,0.187,0.183,0.008,0.043715847,0.000016,0.004
0.25,0.123,0.129,0.126,0.006,0.047619048,9E-06,0.003
0.125,0.087,0.093,0.09,0.006,0.066666667,9E-06,0.003
0,0.076,0.0797,0.07785,0.0037,0.047527296,3.4225E-06,0.00185
-0.125,0.0567,0.058,0.05735,0.0013,0.022667829,4.225E-07,0.00065
-0.25,0.0415,0.0433,0.0424,0.0018,0.04245283,8.1E-07,0.0009
-0.5,0.0199,0.021,0.02045,0.0011,0.053789731,3.025E-07,0.00055
-0.75,0.0072,0.0076,0.0074,0.0004,0.054054054,0.00000004,0.0002
-1,0.00092,0.00099,0.000955,0.00007,0.073298429,1.225E-09,0.000035
-1.25,-0.00173,-0.00169,-0.00171,4E-05,-0.023391813,4E-10,2E-05
-1.5,-0.00245,-0.0023,-0.002375,0.00015,-0.063157895,5.625E-09,0.000075
-1.75,-0.00267,-0.00257,-0.00262,0.0001,-0.038167939,2.5E-09,5E-05
-2,-0.00272,-0.00261,-0.002665,0.00011,-0.041275797,3.025E-09,5.5E-05
-2.5,-0.00275,-0.00263,-0.00269,0.00012,-0.044609665,3.6E-09,6E-05
-3,-0.00272,-0.00263,-0.002675,9E-05,-0.03364486,2.025E-09,4.5E-05
-4,-0.00277,-0.00263,-0.0027,0.00014,-0.051851852,4.9E-09,0.00007
-5,-0.00278,-0.00267,-0.002725,0.00011,-0.040366972,3.025E-09,5.5E-05
-6,-0.00284,-0.00275,-0.002795,9E-05,-0.032200358,2.025E-09,4.5E-05
-7,-0.0028,-0.0027,-0.00275,1E-04,-0.036363636,2.5E-09,5E-05
