Voltage [V],Current Min (e-7 A),Current Max (e-7 A),Average Current (e-7 A),Range (e-7 A),Relative Range (e-7 A),Variance,Standard Deviation
9.9999,0.3219,0.3386,0.33025,0.0167,0.050567752,6.97225E-05,0.00835
9,0.323,0.3282,0.3256,0.0052,0.015970516,6.76E-06,0.0026
8,0.3128,0.312,0.3124,-0.0008,-0.002560819,1.6E-07,0.0004
7,0.3019,0.3065,0.3042,0.0046,0.015121631,5.29E-06,0.0023
6,0.2883,0.2919,0.2901,0.0036,0.012409514,3.24E-06,0.0018
5,0.2718,0.2772,0.2745,0.0054,0.019672131,7.29E-06,0.0027
4,0.2509,0.2558,0.25335,0.0049,0.019340833,6.0025E-06,0.00245
3,0.2237,0.2275,0.2256,0.0038,0.016843972,0.00000361,0.0019
2,0.1838,0.1873,0.18555,0.0035,0.01886284,3.0625E-06,0.00175
1.75,0.1701,0.1749,0.1725,0.0048,0.027826087,0.00000576,0.0024
1.5,0.1565,0.159,0.15775,0.0025,0.015847861,1.5625E-06,0.00125
1.25,0.1348,0.1382,0.1365,0.0034,0.024908425,2.89E-06,0.0017
1,0.1131,0.118,0.11555,0.0049,0.042405885,6.0025E-06,0.00245
0.75,0.0895,0.0913,0.0904,0.0018,0.019911504,8.1E-07,0.0009
0.5,0.0616,0.0635,0.06255,0.0019,0.030375699,9.025E-07,0.00095
0.25,0.0345,0.0352,0.03485,0.0007,0.020086083,1.225E-07,0.00035
0,0.01421,0.01457,0.01439,0.00036,0.025017373,3.24E-08,0.00018
-0.125,0.00681,0.007,0.006905,0.00019,0.027516293,9.025E-09,0.000095
-0.25,0.00157,0.00165,0.00161,0.00008,0.049689441,1.6E-09,0.00004
-0.5,-0.001741,-0.001766,-0.0017535,-2.5E-05,0.0142572,1.5625E-10,0.0000125
-0.75,-0.001902,-0.001916,-0.001909,-1.4E-05,0.007333683,4.9E-11,7E-06
-1,-0.001939,-0.00199,-0.0019645,-0.000051,0.025960804,6.5025E-10,0.0000255
-1.25,-0.001983,-0.00202,-0.0020015,-3.7E-05,0.018486135,3.4225E-10,1.85E-05
-1.5,-0.00199,-0.00202,-0.002005,-3E-05,0.014962594,2.25E-10,0.000015
-1.75,-0.00199,-0.00203,-0.00201,-4E-05,0.019900498,4E-10,2E-05
-2,-0.00199,-0.00203,-0.00201,-4E-05,0.019900498,4E-10,2E-05
-2.5,-0.00201,-0.00205,-0.00203,-4E-05,0.019704433,4E-10,2E-05
-3,-0.00201,-0.00205,-0.00203,-4E-05,0.019704433,4E-10,2E-05
-4,-0.00202,-0.00208,-0.00205,-6E-05,0.029268293,9E-10,3E-05
-5,-0.00205,-0.00209,-0.00207,-4E-05,0.019323671,4E-10,2E-05
-6,-0.00206,-0.00211,-0.002085,-5E-05,0.023980815,6.25E-10,2.5E-05
-7,-0.00207,-0.00212,-0.002095,-5E-05,0.023866348,6.25E-10,2.5E-05
-8,-0.00209,-0.00213,-0.00211,-4E-05,0.018957346,4E-10,2E-05
-9,-0.00209,-0.00214,-0.002115,-5E-05,0.023640662,6.25E-10,2.5E-05
