Voltage [V],Current Min (e-7 A),Current Max (e-7 A),Average Current (e-7 A),Range (e-7 A),Relative Range (e-7 A),Variance,Standard Deviation
9,3.7,3.85,3.775,0.15,0.039735099,0.005625,0.075
8,3.56,3.66,3.61,0.1,0.027700831,0.0025,0.05
7,3.35,3.42,3.385,0.07,0.020679468,0.001225,0.035
6,2.92,2.96,2.94,0.04,0.013605442,0.0004,0.02
5,2.63,2.74,2.685,0.11,0.040968343,0.003025,0.055
4,2.33,2.36,2.345,0.03,0.012793177,0.000225,0.015
3,1.93,1.98,1.955,0.05,0.025575448,0.000625,0.025
2,1.44,1.49,1.465,0.05,0.034129693,0.000625,0.025
1.75,1.3,1.33,1.315,0.03,0.022813688,0.000225,0.015
1.5,1.16,1.17,1.165,0.01,0.008583691,0.000025,0.005
1.25,0.99,1.03,1.01,0.04,0.03960396,0.0004,0.02
1,0.84,0.85,0.845,0.01,0.01183432,0.000025,0.005
0.75,0.68,0.69,0.685,0.01,0.01459854,2.5E-05,0.005
0.5,0.51,0.52,0.515,0.01,0.019417476,0.000025,0.005
0.25,0.32,0.33,0.325,0.01,0.030769231,0.000025,0.005
0,0.183,0.184,0.1835,0.001,0.005449591,0.00000025,0.0005
-0.125,0.137,0.14,0.1385,0.003,0.02166065,0.00000225,0.0015
-0.25,0.093,0.095,0.094,0.002,0.021276596,0.000001,0.001
-0.5,0.036,0.038,0.037,0.002,0.054054054,0.000001,0.001
-0.75,0.0061,0.0062,0.00615,1E-04,0.016260163,2.5E-09,5E-05
-1,-0.0068,-0.0069,-0.00685,-0.0001,0.01459854,2.5E-09,5E-05
