Voltage [V],Current Min (e-7 A),Current Max (e-7 A),Average Current (e-7 A),Range (e-7 A),Relative Range (e-7 A),Variance,Standard Deviation
9,2.57,2.626,2.598,0.056,0.021555042,0.000784,0.028
8,2.475,2.515,2.495,0.04,0.016032064,0.0004,0.02
7,2.365,2.427,2.396,0.062,0.025876461,0.000961,0.031
6,2.23,2.27,2.25,0.04,0.017777778,0.0004,0.02
5,2.075,2.11,2.0925,0.035,0.016726404,3.06E-04,0.0175
4,1.885,1.93,1.9075,0.045,0.023591088,0.00050625,0.0225
3,1.63,1.675,1.6525,0.045,0.027231467,0.00050625,0.0225
2,1.261,1.316,1.2885,0.055,0.042685293,7.56E-04,0.0275
1.5,1.06,1.084,1.072,0.024,0.02238806,0.000144,0.012
1,0.75,0.778,0.764,0.028,0.036649215,1.96E-04,0.014
0.75,0.604,0.627,0.6155,0.023,0.037367994,1.32E-04,0.0115
0.5,0.44,0.47,0.455,0.03,0.065934066,0.000225,0.015
0.25,0.235,0.25,0.2425,0.015,0.06185567,5.63E-05,0.0075
0.125,0.143,0.1775,0.16025,0.0345,0.215288612,2.98E-04,0.01725
0,0.1222,0.125,0.1236,0.0028,0.022653722,1.96E-06,0.0014
-0.125,0.0679,0.07317,0.070535,0.00527,0.074714681,6.94E-06,0.002635
-0.25,0.03118,0.03287,0.032025,1.69E-03,0.052771272,7.14E-07,8.45E-04
-0.375,0.004917,0.0055014,5.21E-03,5.84E-04,0.112186132,8.54E-08,2.92E-04
-0.5,-0.01045,-0.000994,-0.005722,0.009456,-1.652569032,2.24E-05,4.73E-03
-0.75,-0.01581,-0.0152,-0.015505,6.10E-04,-0.039342148,9.30E-08,3.05E-04
-1,-0.01604,-0.01562,-1.58E-02,4.20E-04,-0.026531901,4.41E-08,2.10E-04
