Voltage [V],Current Min (e-7 A),Current Max (e-7 A),Average Current (e-7 A),Range (e-7 A),Relative Range (e-7 A),Variance,Standard Deviation
9.9999,1.366,1.375,1.3705,0.009,0.006566946,2.025E-05,0.0045
9,1.317,1.331,1.324,0.014,0.010574018,4.9E-05,0.007
8,1.201,1.217,1.209,0.016,0.013234078,6.4E-05,0.008
7,1.111,1.133,1.122,0.022,0.019607843,0.000121,0.011
6,1.095,1.112,1.1035,0.017,0.015405528,7.225E-05,0.0085
5,0.984,1.009,0.9965,0.025,0.025087807,0.00015625,0.0125
4,0.92,0.94,0.93,0.02,0.021505376,1E-04,0.01
3,0.818,0.829,0.8235,0.011,0.01335762,3.025E-05,0.0055
2,0.651,0.659,0.655,0.008,0.01221374,0.000016,0.004
1.75,0.602,0.611,0.6065,0.009,0.014839242,0.00002025,0.0045
1.5,0.538,0.545,0.5415,0.007,0.012927054,0.00001225,0.0035
1.25,0.475,0.488,0.4815,0.013,0.026998962,4.225E-05,0.0065
1,0.405,0.409,0.407,0.004,0.00982801,4E-06,0.002
0.75,0.314,0.318,0.316,0.004,0.012658228,4E-06,0.002
0.5,0.227,0.232,0.2295,0.005,0.021786492,6.25E-06,0.0025
0.25,0.137,0.141,0.139,0.004,0.028776978,4E-06,0.002
0,0.062,0.063,0.0625,0.001,0.016,0.00000025,0.0005
-0.125,0.00168,0.00175,0.001715,0.00007,0.040816327,1.225E-09,0.000035
-0.25,0.00162,0.00165,0.001635,3E-05,0.018348624,2.25E-10,0.000015
-0.5,0.00161,0.00162,0.001615,1E-05,0.00619195,2.5E-11,5E-06
-0.75,0.00156,0.0016,0.00158,4E-05,0.025316456,4E-10,2E-05
-1,0.00156,0.00158,0.00157,2E-05,0.012738854,1E-10,0.00001
-1.25,0.00155,0.00156,0.001555,0.00001,0.006430868,2.5E-11,5E-06
-1.5,0.00153,0.00156,0.001545,3E-05,0.019417476,2.25E-10,0.000015
-1.75,0.00152,0.00156,0.00154,4E-05,0.025974026,4E-10,2E-05
-2,0.00149,0.00155,0.00152,6E-05,0.039473684,9E-10,0.00003
-2.5,0.00148,0.00155,0.001515,0.00007,0.04620462,1.225E-09,0.000035
-3,0.00148,0.00154,0.00151,6E-05,0.039735099,9E-10,0.00003
-4,0.00136,0.00147,0.001415,0.00011,0.077738516,3.025E-09,5.5E-05
-5,0.00139,0.00144,0.001415,5E-05,0.035335689,6.25E-10,2.5E-05
-6,0.00138,0.00143,0.001405,5E-05,0.035587189,6.25E-10,2.5E-05
