Voltage [V],Current Min (e-7 A),Current Max (e-7 A),Average Current (e-7 A),Range (e-7 A),Relative Range (e-7 A),Variance,Standard Deviation
9,0.6519,0.6533,0.6526,0.0014,0.002145265,4.9E-07,0.0007
8,0.592,0.627,0.6095,0.035,0.057424118,0.00030625,0.0175
7,0.591,0.603,0.597,0.012,0.020100503,3.6E-05,0.006
6,0.577,0.585,0.581,0.008,0.013769363,0.000016,0.004
5,0.543,0.546,0.5445,0.003,0.005509642,0.00000225,0.0015
4,0.5,0.506,0.503,0.006,0.011928429,9E-06,0.003
3,0.444,0.452,0.448,0.008,0.017857143,0.000016,0.004
2,0.36,0.366,0.363,0.006,0.016528926,9E-06,0.003
1.75,0.326,0.331,0.3285,0.005,0.0152207,6.25E-06,0.0025
1.5,0.29,0.297,0.2935,0.007,0.023850085,0.00001225,0.0035
1.25,0.256,0.26,0.258,0.004,0.015503876,4E-06,0.002
1,0.218,0.22,0.219,0.002,0.00913242,0.000001,0.001
0.75,0.168,0.173,0.1705,0.005,0.029325513,6.25E-06,0.0025
0.5,0.116,0.123,0.1195,0.007,0.058577406,0.00001225,0.0035
0.25,0.069,0.071,0.07,0.002,0.028571429,1E-06,0.001
0.125,0.048,0.049,0.0485,0.001,0.020618557,0.00000025,0.0005
0,0.027,0.028,0.0275,0.001,0.036363636,0.00000025,0.0005
-0.125,0.013,0.014,0.0135,0.001,0.074074074,0.00000025,0.0005
-0.25,0.002,0.003,0.0025,0.001,0.4,0.00000025,0.0005
-0.5,-0.004,-0.005,-0.0045,-0.001,0.222222222,0.00000025,0.0005
-0.75,-0.0051,-0.0052,-0.00515,-1E-04,0.019417476,2.5E-09,5E-05
-1,-0.0053,-0.0054,-0.00535,-0.0001,0.018691589,2.5E-09,5E-05
